French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
demande,request
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
